SYMBOL,SERIES,LAST
ICICIPRULI,EQ,431.9
ICICISENSX,EQ,661.34
ICICISILVE,EQ,75.82
ICICITECH,EQ,30.24
ICIL,EQ,131.4
ICRA,EQ,4725.05
IDBI,EQ,46.7
IDBIGOLD,EQ,5555
IDEA,EQ,6.15
IDFC,EQ,77.2
IDFCFIRSTB,EQ,54.3
IDFNIFTYET,EQ,187.22
IEL,EQ,9.3
IEX,EQ,152.2
IFBAGRO,EQ,450
IFBIND,EQ,757
IFCI,EQ,10.25
IFCI,NH,1036
IFGLEXPOR,EQ,232.1
IGARASHI,EQ,380.8
IGL,EQ,468
IGPL,EQ,457.5
IIFCL,N2,1058.49
